Date,Account,Description,Category,Tags,Amount
5/28/2021,Northrop Grumman 401k,Ng Stock - Balance Forward,Securities Trades,,0
5/28/2021,L3harris 401k,L3harris Stock Fund - Dividends,Securities Trades,,11.03
5/28/2021,L3harris 401k,L3harris Stock Fund - Balance Forward,Securities Trades,,0
5/28/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
5/28/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2299.11
5/28/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
5/28/2021,Spend (BOA),L'oreal Usa,Paychecks/Salary,,4478.6
5/28/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,72.83
5/28/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,145.67
5/28/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,72.83
5/28/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,437
5/28/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,29.13
5/28/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,58.27
5/28/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,29.13
5/28/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,174.8
5/28/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,1.06
5/28/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,2.09
5/28/2021,College 529,Money Line Received,Transfers,,50
5/28/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
5/27/2021,Spend (PNC),Honda,Car Loan,,-316
5/27/2021,Spend (PNC),Usaa,Car Insurance,", ",-182.62
5/26/2021,Chase Credit Card,Ulta Beauty,Personal Care/Hair,,-14.83
5/26/2021,Chase Credit Card,Old Navy,Clothing/Shoes/Makeup,,-72.6
5/26/2021,Auto - Ending in 7460,Payment Received - Thank You!,Transfers,,316
5/26/2021,Short Term Savings (BOA),Interest Earned,Interest,,0.08
5/25/2021,Chase Credit Card,Colpark Loc 787,Travel,,-22
5/23/2021,Chase Credit Card,Summit Medical Group,Healthcare/Medical,,-200.46
5/22/2021,Chase Credit Card,Old Navy,Clothing/Shoes/Makeup,,-100.68
5/21/2021,Spend (BOA),Rutgers University,Paychecks/Salary,,302.02
5/21/2021,Spend (BOA),Chase,Credit Card Payments,,-799.64
5/21/2021,Chase Credit Card,Tst* Imm Thai,Restaurants/Liquor,,-8.48
5/20/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-35.45
5/20/2021,TD Invest,Sold 16 Tqqq @ 97.6801,Securities Trades,,1562.87
5/20/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,799.64
5/19/2021,Chase Credit Card,Banana Republic,Return Income,,78.38
5/19/2021,Chase Credit Card,Honda,Car Maintenance,,-42.59
5/19/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
5/19/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,120.31
5/19/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
5/19/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,75.2
5/19/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
5/19/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,270.71
5/19/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
5/19/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,60.15
5/19/2021,Chase Credit Card,Panera Bread,Restaurants/Liquor,,-33.1
5/18/2021,BOA Credit Card,Bp Global,Gasoline/Fuel,,-34.52
5/18/2021,Chase Credit Card,Panera Bread,Restaurants/Liquor,,-9.56
5/18/2021,Chase Credit Card,Los 2915 Jersey Shore Lo,Clothing/Shoes/Makeup,,-39.88
5/18/2021,Chase Credit Card,"Target Xxxx3789 - Medical supplies, Cat toy, Lotion",General Merchandise,", , , ",-102.81
5/18/2021,Chase Credit Card,Banana Republic,Clothing/Shoes/Makeup,,-234.6
5/18/2021,Chase Credit Card,J.crew,Clothing/Shoes/Makeup,,-62.45
5/18/2021,Chase Credit Card,Homegoods 0403 - Towels,Home Maintenance,,-17.04
5/18/2021,Spend (BOA),Bank Of America,Deposits,,250
5/18/2021,TD Invest,Sold 259 Bp @ 27.44,Securities Trades,,7106.89
5/18/2021,TD Invest,Sold 0.459 Bp @ 27.44,Securities Trades,,12.59
5/17/2021,Chase Credit Card,E-zpass,Travel,,-100
5/17/2021,Chase Credit Card,Precision Nails,Personal Care/Hair,,-60
5/17/2021,Spend (PNC),Td Ameritrade,Investments,,-350
5/17/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-50.51
5/17/2021,Spend (BOA),Chase,Credit Card Payments,,-562.06
5/15/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,50.51
5/15/2021,Discover Credit Card,Cashback Bonus Redemption Pymt/stmt Crdt,Credit Card Payments,,10.09
5/15/2021,Chase Credit Card,Blue Swan * Blue Swan,Restaurants/Liquor,,-37.05
5/14/2021,Chase Credit Card,Dunkin' Donuts,Restaurants/Liquor,,-15
5/14/2021,Chase Credit Card,Bottle Shop,Restaurants/Liquor,,-26.01
5/14/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-4.59
5/14/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
5/14/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
5/14/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2286.83
5/14/2021,Spend (PNC),Interest Payment,Interest,,0.05
5/14/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
5/14/2021,Chase Credit Card,Payment Thank You - Web,Credit Card Payments,,562.06
5/14/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
5/13/2021,Chase Credit Card,Summit Medical Group,Healthcare/Medical,,-57.55
5/13/2021,TD Invest,Bought 16 Tqqq @ 90.1,Securities Trades,,-1441.6
5/13/2021,Spend (PNC),Verizon,TV/Internet/Phone & Subscriptions,,-54.99
5/12/2021,Discover Credit Card,Bp Global,Gasoline/Fuel,,-30.24
5/12/2021,Chase Credit Card,Stop & Shop,Gifts,,-24.66
5/10/2021,Spend (PNC),Geico,Car Insurance,,-168.75
5/10/2021,Spend (PNC),Elizabethtown Gas,Gas/Electric Bill,,-15.66
5/10/2021,Spend (BOA),Bank Of America,Car Loan,,-309.66
5/10/2021,Spend (BOA),Bank Of America,Credit Card Payments,,-37.51
5/10/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-222.9
5/9/2021,BOA Credit Card,Payment - Thank You,Credit Card Payments,,37.51
5/9/2021,Chase Credit Card,Amoco,Gasoline/Fuel,,-31.43
5/8/2021,Chase Credit Card,Wegmans,Groceries & Essentials,,-34.51
5/8/2021,Chase Credit Card,Target,Gifts,,-81.91
5/7/2021,Spend (BOA),Rutgers University,Paychecks/Salary,,206.41
5/7/2021,TD Invest,Sold 15 Cnxn @ 44.7701,Securities Trades,,671.55
5/7/2021,TD Invest,Sold 27 Nus @ 57.9808,Securities Trades,,1565.47
5/7/2021,TD Invest,Sold 0.221 Nus @ 57.98,Securities Trades,,12.81
5/6/2021,Chase Credit Card,The Home Depot 954,Gifts,,-80.9
5/5/2021,Chase Credit Card,Clark Bbq,Restaurants/Liquor,,-21.33
5/5/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
5/5/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,120.31
5/5/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
5/5/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,75.2
5/5/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
5/5/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,270.71
5/5/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
5/5/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,60.15
5/4/2021,Spend (PNC),Debit Card Purchase Xxxxx9443 Usfaspca Pet Insur Xxxxx6764 Oh,Pets/Pet Care,,-31.42
5/4/2021,TD Invest,Sold 100 Spke @ 10.499,Securities Trades,,1049.88
5/3/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-30.36
5/3/2021,Spend (PNC),Td Ameritrade,Investments,,-350
5/3/2021,Spend (PNC),The Park Hotels,Rent,,-2306.68
5/3/2021,Spend (PNC),Fidelity Investments,Investments,,-50
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-7.5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-7.5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Money Market,Securities Trades,,-5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Fidelity 500 Index,Securities Trades,,-5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Total Market Index,Securities Trades,,-10
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-5
5/3/2021,College 529,You Bought Contribution Periodic Investment Nh International Index,Securities Trades,,-5
5/3/2021,Spend (BOA),Chase,Credit Card Payments,,-253.86
5/3/2021,Short Term Savings (BOA),Goldman Sachs,Savings,,-1500
5/3/2021,Long Term Savings (Goldman),Internet Transfer From Bank Of America N.a. Dda Account ********6703,Transfers,,1500
5/3/2021,College 529,Money Line Received Eft Funds Received Erxxxx3149,Transfers,,50
5/2/2021,Chase Credit Card,Chewy,Pets/Pet Care,,-52.03
5/1/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,253.86
5/1/2021,Chase Credit Card,Hulu,TV/Internet/Phone & Subscriptions,,-12.39
4/30/2021,Long Term Savings (Goldman),Sav Increase Int Paid,Interest,,33.65
4/30/2021,TD Invest,Free Balance Interest Adjustment,Investment Income,,0.15
4/30/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
4/30/2021,Health Savings Account - Ending in 5417,Interest,Interest,,0.01
4/30/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
4/30/2021,Short Term Savings (PNC),Interest Payment,Interest,,0.27
4/30/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
4/30/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2283.15
4/30/2021,Spend (PNC),Ach Debit Xxxxx2808 Public Service Pseg,Gas/Electric Bill,,-157.39
4/30/2021,Spend (BOA),L'oreal Usa,Paychecks/Salary,,4474.45
4/30/2021,Spend (BOA),Online Scheduled Transfer To Sav 6703 Confirmation# Xxxxxx9492,Transfers,,-1500
4/30/2021,Short Term Savings (BOA),Online Scheduled Transfer From Chk 9148 Confirmation# Xxxxxx9492,Transfers,,1500
4/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,72.83
4/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,145.67
4/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,72.83
4/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,437
4/30/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,29.13
4/30/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,58.27
4/30/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,29.13
4/30/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,174.8
4/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,1.13
4/30/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Svfq,Securities Trades,,2.2
4/30/2021,College 529,Money Line Received,Transfers,,50
4/30/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
4/29/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-10
4/29/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-65.01
4/28/2021,Chase Credit Card,Spring Lake Pizza,Restaurants/Liquor,,-13.86
4/28/2021,Chase Credit Card,Cvs/pharmacy #x2064,Healthcare/Medical,,-64.03
4/28/2021,Spend (BOA),Bank Of America,Transfers,,150
4/28/2021,Spend (BOA),Chase,Credit Card Payments,,-1030.35
4/28/2021,Short Term Savings (BOA),Interest Earned,Interest,,0.08
4/27/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-82.11
4/27/2021,Chase Credit Card,Amazon Marketplace - Sun glasses,General Merchandise,,-34.43
4/27/2021,Chase Credit Card,"Amazon Marketplace - Crutches, Scissors, Watch Band",General Merchandise,,-49.43
4/27/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,65.01
4/27/2021,TD Invest,Sold 4 Hele @ 228.34,Securities Trades,,913.36
4/27/2021,Spend (PNC),Honda,Car Loan,,-316
4/27/2021,Spend (PNC),Usaa,Car Insurance,", ",-182.62
4/27/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,1030.35
4/26/2021,Auto - Ending in 7460,Payment Received - Thank You!,Transfers,,316
4/25/2021,Chase Credit Card,16 Handles,Entertainment/Social,,-17.22
4/25/2021,Chase Credit Card,Houston Street Garage,Travel,,-15
4/24/2021,Chase Credit Card,Tst* Imm Thai,Restaurants/Liquor,,-14.02
4/24/2021,Chase Credit Card,Oakhurst Dental Associ,Healthcare/Medical,,-20
4/24/2021,Discover Credit Card,Bp#xxx3400west Long Bran West Long Branj,Gasoline/Fuel,,-32.81
4/23/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-8
4/23/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-57.08
4/23/2021,Spend (BOA),Rutgers University,Paychecks/Salary,,107.61
4/22/2021,Chase Credit Card,"Amazon - Shower Boot, SD card",General Merchandise,,-33.31
4/22/2021,Chase Credit Card,Dairy Queen,Entertainment/Social,,-5.43
4/22/2021,Chase Credit Card,Color&co,Personal Care/Hair,,-29.69
4/22/2021,Chase Credit Card,Dunkin' Donuts,Cash Back,,1.87
4/21/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-84.88
4/21/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
4/21/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,120.31
4/21/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
4/21/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,75.2
4/21/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
4/21/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,270.71
4/21/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
4/21/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,60.15
4/20/2021,Chase Credit Card,E-zpass,Travel,,-100
4/20/2021,TD Invest,Sold 23 Ebs @ 66.0201,Securities Trades,,1518.45
4/19/2021,BOA Credit Card,Shell,Gasoline/Fuel,,-37.51
4/19/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-516.55
4/19/2021,Spend (PNC),Td Ameritrade,Investments,,-350
4/19/2021,Chase Credit Card,Dermatology & Skin Cntr,Healthcare/Medical,,-45
4/18/2021,Discover Credit Card,Exxonmobil,Gasoline/Fuel,,-32.2
4/18/2021,Chase Credit Card,Amazon Marketplace - Car Phone Mount,General Merchandise,,-20.21
4/18/2021,Chase Credit Card,Color&co,Personal Care/Hair,,-29.3
4/18/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-47.27
4/17/2021,Chase Credit Card,Brave New World,Clothing/Shoes/Makeup,,-20
4/17/2021,Chase Credit Card,Cousins Maine Lobster Fre,Restaurants/Liquor,,-55.22
4/17/2021,Chase Credit Card,Sp * Hollandridgefarms,General Merchandise,,-44.78
4/17/2021,Chase Credit Card,Cory Mathews South Inc,Personal Care/Hair,,-30
4/16/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,516.55
4/16/2021,Chase Credit Card,Amazon Marketplace - Running Phone Holders,General Merchandise,,-40.7
4/16/2021,Chase Credit Card,Summit Medical Group,Healthcare/Medical,,-149.44
4/16/2021,Chase Credit Card,Amazon - Shirt,Gifts,,-19.99
4/16/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
4/16/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2283.13
4/16/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
4/16/2021,Spend (BOA),Chase,Credit Card Payments,,-2237.23
4/16/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
4/16/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
4/15/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-41.44
4/15/2021,Chase Credit Card,Cvs/pharmacy #x2064,Healthcare/Medical,,-74.89
4/15/2021,Chase Credit Card,Sp * Hollandridgefarms,Gifts,,-19.99
4/15/2021,Chase Credit Card,Dunkin' Donuts,Restaurants/Liquor,,-9.36
4/15/2021,Discover Credit Card,Apple.com/us Xxx-xxx-2775 Ca Wxxxxx1830a1,Gifts,,-435.03
4/15/2021,Discover Credit Card,Apple.com/us Xxx-xxx-2775 Ca Wxxxxx1830axxxxx2300,Gifts,,-0.01
4/15/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,2237.23
4/15/2021,TD Invest,Sold 50 Esca @ 22.7145,Securities Trades,,1135.71
4/15/2021,TD Invest,Sold 50 Msgn @ 15.614,Securities Trades,,780.69
4/14/2021,Spend (PNC),Interest Payment,Interest,,0.05
4/13/2021,Spend (PNC),Verizon,TV/Internet/Phone & Subscriptions,,-54.99
4/12/2021,Chase Credit Card,1st Phorm International,Groceries & Essentials,,-49.99
4/11/2021,Chase Credit Card,Amazon Marketplace,Return Income,,18.33
4/11/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-182.01
4/10/2021,Chase Credit Card,Amazon Marketplace - Phone accessories,General Merchandise,,-40.08
4/10/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-32.33
4/10/2021,Chase Credit Card,E-zpass,Travel,,-55
4/9/2021,Spend (PNC),Geico,Car Insurance,,-168.75
4/9/2021,Spend (BOA),Rutgers University,Paychecks/Salary,,107.61
4/9/2021,Spend (BOA),Bank Of America,Car Loan,,-309.66
4/9/2021,Chase Credit Card,Il Forno A Legna,Restaurants/Liquor,,-57.58
4/8/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-44.96
4/8/2021,Chase Credit Card,Sp * Hollandridgefarms,Entertainment/Social,,-51.2
4/7/2021,Chase Credit Card,Google *google Store,General Merchandise,,-53.3
4/7/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
4/7/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,120.31
4/7/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
4/7/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,75.2
4/7/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
4/7/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,270.71
4/7/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
4/7/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,60.15
4/6/2021,Chase Credit Card,Dunkin' Donuts,Restaurants/Liquor,,-25
4/6/2021,Chase Credit Card,Chewy,Pets/Pet Care,,-72.38
4/6/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-6.44
4/6/2021,Chase Credit Card,"Amazon Marketplace - Fish Toys, Charging Cable, Scholls, Dashcam, Lint Roller, Flow Meter",General Merchandise,", , , ",-189.11
4/6/2021,Chase Credit Card,Amazon - String Toy,Pets/Pet Care,,-31.93
4/6/2021,Spend (PNC),Td Ameritrade,Investments,,-350
4/6/2021,TD Invest,Sold 19 Bah @ 83.21,Securities Trades,,1580.98
4/6/2021,TD Invest,Sold 49 Aqua @ 27.39,Securities Trades,,1342.09
4/6/2021,TD Invest,Sold 8 Qlys @ 103.88,Securities Trades,,831.04
4/6/2021,TD Invest,Sold 18 Vz @ 58.81,Securities Trades,,1058.57
4/6/2021,TD Invest,Sold 5 Stmp @ 210.25,Securities Trades,,1051.24
4/6/2021,TD Invest,Sold 15 Regi @ 66.0272,Securities Trades,,990.4
4/5/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-30.11
4/5/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-2.4
4/5/2021,Chase Credit Card,E-zpass,Travel,,-55
4/5/2021,TD Invest,Bought 50 Msgn @ 15.5821,Securities Trades,,-779.11
4/5/2021,TD Invest,Bought 50 Esca @ 20.8,Securities Trades,,-1040
4/5/2021,Spend (BOA),Chase,Credit Card Payments,,-522.39
4/5/2021,Spend (PNC),Debit Card Purchase Xxxxx9443 Usfaspca Pet Insur Xxxxx6764 Oh,Pets/Pet Care,,-31.42
4/5/2021,Spend (PNC),The Park Hotels,Rent,,-2307.35
4/5/2021,Chase Credit Card,Il Forno A Legna,Restaurants/Liquor,,-19.19
4/5/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
4/4/2021,Chase Credit Card,Google,Entertainment/Social,,-5.32
4/4/2021,Chase Credit Card,Dairy Queen,Entertainment/Social,,-11.36
4/3/2021,Chase Credit Card,Applebee's,Restaurants/Liquor,,-38.64
4/3/2021,Chase Credit Card,Liquor Basics,Restaurants/Liquor,,-53.3
4/3/2021,Chase Credit Card,Tst* Imm Thai,Restaurants/Liquor,,-15.88
4/2/2021,Chase Credit Card,Msp*allergypartners Nj,Healthcare/Medical,,-570.08
4/2/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-8
4/2/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-1.49
4/2/2021,Chase Credit Card,Eyes First Vision Ctr,Healthcare/Medical,,-549.6
4/2/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
4/2/2021,Spend (PNC),Elizabethtown Gas,Gas/Electric Bill,,-28.99
4/2/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
4/2/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2234.34
4/2/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,522.39
4/2/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,71.43
4/1/2021,Chase Credit Card,Amazon - Pump,General Merchandise,,-22.38
4/1/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-6.88
4/1/2021,Chase Credit Card,Hulu,TV/Internet/Phone & Subscriptions,,-12.39
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-7.5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-7.5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Money Market,Securities Trades,,-5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Fidelity 500 Index,Securities Trades,,-5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Total Market Index,Securities Trades,,-10
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-5
4/1/2021,College 529,You Bought Contribution Periodic Investment Nh International Index,Securities Trades,,-5
4/1/2021,L3harris 401k,Lifecycle Fund Xx60 - Recordkeeping Fee,Service Charges/Fees,,-2.3
4/1/2021,L3harris 401k,Large Cap Core Eq - Recordkeeping Fee,Service Charges/Fees,,-1.51
4/1/2021,L3harris 401k,L3harris Stock Fund - Recordkeeping Fee,Service Charges/Fees,,-0.79
4/1/2021,L3harris 401k,Index Equity Fund - Recordkeeping Fee,Service Charges/Fees,,-1.15
4/1/2021,TD Invest,Bought 6 Ebs @ 79.6401,Securities Trades,,-477.84
4/1/2021,Spend (PNC),Fidelity Investments,Investments,,-50
4/1/2021,Spend (BOA),Online Scheduled Transfer To Sav 6703 Confirmation# Xxxxxx3081,Transfers,,-1500
4/1/2021,Short Term Savings (BOA),Online Scheduled Transfer From Chk 9148 Confirmation# Xxxxxx3081,Transfers,,1500
4/1/2021,Short Term Savings (BOA),Goldman Sachs,Savings,,-1500
4/1/2021,Long Term Savings (Goldman),Internet Transfer From Bank Of America N.a. Dda Account ********6703,Transfers,,1500
4/1/2021,College 529,Money Line Received Eft Funds Received Erxxxx2672,Transfers,,50
3/31/2021,Chase Credit Card,365 Market B Xxx Xxx-3299,Restaurants/Liquor,,-3.36
3/31/2021,Chase Credit Card,Amazon - Soccer Ball,General Merchandise,,-21.31
3/31/2021,Chase Credit Card,Amazon.com,Groceries & Essentials,,-80.42
3/31/2021,Health Savings Account - Ending in 5417,Interest,Interest,,0.01
3/31/2021,Long Term Savings (Goldman),Sav Increase Int Paid,Interest,,34.12
3/31/2021,Short Term Savings (PNC),Interest Payment,Interest,,0.26
3/31/2021,Spend (PNC),Ach Debit Xxxxx2808 Public Service Pseg,Gas/Electric Bill,,-165.22
3/31/2021,Spend (BOA),L'oreal Usa,Paychecks/Salary,,4474.44
3/31/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,72.83
3/31/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,145.67
3/31/2021,TD Invest,Sold 10 Regi @ 67.3875,Securities Trades,,673.88
3/31/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,72.83
3/31/2021,TD Invest,Miscellaneous Journal Entry,Securities Trades,,0.03
3/31/2021,TD Invest,Sold 10 Crus @ 85.67,Securities Trades,,856.7
3/31/2021,TD Invest,Sold 25 Lite @ 92.2001,Securities Trades,,2304.99
3/31/2021,TD Invest,Free Balance Interest Adjustment,Investment Income,,0.07
3/31/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,437
3/31/2021,L'oreal Usa Inc. 401k,Contribution Vtiax,Retirement Contributions,,29.13
3/31/2021,L'oreal Usa Inc. 401k,Contribution Viiix,Retirement Contributions,,58.27
3/31/2021,L'oreal Usa Inc. 401k,Contribution Svfq,Retirement Contributions,,29.13
3/31/2021,L'oreal Usa Inc. 401k,Contribution T5o,Retirement Contributions,,174.8
3/31/2021,L'oreal Usa Inc. 401k,Fees Vtiax,Securities Trades,,-0.27
3/31/2021,L'oreal Usa Inc. 401k,Fees Vtiax,Securities Trades,,-0.52
3/31/2021,L'oreal Usa Inc. 401k,Fees Viiix,Securities Trades,,-0.56
3/31/2021,L'oreal Usa Inc. 401k,Fees Viiix,Securities Trades,,-1.07
3/31/2021,L'oreal Usa Inc. 401k,Fees Svfq,Securities Trades,,-0.22
3/31/2021,L'oreal Usa Inc. 401k,Fees Svfq,Securities Trades,,-0.44
